text,category
swimming pool membership via anytime fitness,Fitness
paid for local gym swimming pool membership,Fitness
coffee from starbucks payment,Food
paid for stationery for school,Education
paytm cult fit fitness band,Fitness
phonepe tacos from mcdonalds,Food
ipl ticket via inox payment,Entertainment
upi reliance fresh bread,Grocery
paid for upi transfer for shop rent,Rent
paid for vitamins,Health
upi paid for yoga subscription,Fitness
exam registration fee for local tuition,Education
paid for bike petrol refill payment,Transport
phonepe paid for car diesel,Transport
paytm neft from employer from freelance,Salary
bought laptop from decathlon,Shopping
monthly rice and dal payment,Grocery
groww ppf contribution,Investment
spotify subscription,Entertainment
monthly dth recharge,Bills
phonepe badminton court booking via cult fit,Fitness
hotel in mumbai via ksrtc,Travel
phonepe wazirx ipo application,Investment
upi stock market investment via groww,Investment
phonepe tickets on inox,Entertainment
upi startup stipend,Salary
upi to zomato payment,Food
uber bus ticket,Transport
received stipend payment,Salary
stock market investment,Investment
phonepe invested in bonds,Investment
adani electricity electricity bill payment payment,Bills
paid for ppf contribution via zerodha,Investment
paid for bought daily essentials from natures basket,Grocery
golds gym protein powder order,Fitness
paid for masala dosa,Food
paid for auto fare via uber,Transport
lunch at haldirams payment,Food
upi tickets on epic games,Entertainment
lal path labs medicines,Health
paytm dinner paneer butter masala,Food
phonepe bought fruits from bigbasket,Grocery
unacademy books purchase,Education
paytm paid room maintenance,Rent
society maintenance payment payment,Rent
paid for mutual fund sip via zerodha,Investment
upi zumba classes via anytime fitness,Fitness
upi oyo flight to dubai,Travel
monthly gas booking payment,Bills
paytm salary credited from client,Salary
hotel in manali via oyo,Travel
paid for ipl ticket,Entertainment
water bill for act fibernet,Bills
paytm fastag recharge via delhi metro,Transport
paid for books purchase for coursera,Education
paid for golds gym swimming pool membership,Fitness
upi paid electricity bill payment,Bills
bike petrol refill via indian oil,Transport
paid for mri scan at fortis,Health
blood test at netmeds,Health
paid for paid mobile recharge,Bills
upi monthly shop rent,Rent
amazon electronics,Shopping
security deposit payment,Rent
temple donation,Others
mobile recharge for act fibernet payment,Bills
paytm natures basket fruits,Grocery
phonepe myprotein swimming pool membership,Fitness
paytm upi to empire restaurant,Food
paytm neft from employer from infosys,Salary
bought eggs from instamart payment,Grocery
upi byjus college semester fee,Education
paytm property tax for bharat gas,Bills
dinner coffee,Food
upi upi unknown upi transfer,Others
paytm tcs salary credited,Salary
paytm books purchase for local tuition,Education
upi books purchase for unacademy,Education
upi transfer for society maintenance,Rent
upi irctc flight to kerala,Travel
paid cash withdrawal payment,Others
theme park via youtube premium,Entertainment
paid for local kirana bread,Grocery
phonepe books purchase for university,Education
upi consulting fee from cognizant,Salary
paytm lifestyle dress,Shopping
srl diagnostics doctor consultation,Health
paid gas booking payment,Bills
exam registration fee for university,Education
phonepe stationery for school,Education
paytm upi to local bakery,Food
physiotherapy at medplus,Health
paytm fine payment,Others
hotel in goa via cleartrip payment,Travel
paid for electricity bill payment for bharat gas,Bills
phonepe paid missing cash,Others
phonepe monthly groceries,Grocery
paid for paid for auto fare,Transport
upi stationery for simplilearn,Education
steam subscription payment,Entertainment
freelance bonus,Salary
upi paid petrol pump cash,Others
ipo application via etmoney,Investment
phonepe stipend from infosys,Salary
upi upstox ppf contribution,Investment
paid for theme park via epic games,Entertainment
paid for hostel mess fee for byjus,Education
upi f45 badminton court booking,Fitness
paytm dmart eggs,Grocery
paytm paid for blood test,Health
upi app error payment,Others
phonepe fine payment,Others
apollo pharmacy health checkup payment,Health
irctc flight to bangalore,Travel
paid for clinic visit payment,Health
bought sneakers from amazon,Shopping
phonepe mcgm mobile recharge,Bills
steam subscription,Entertainment
1mg health checkup payment,Health
paid for f45 yoga subscription,Fitness
paytm trip to kerala,Travel
received neft from employer,Salary
paid for shopping at decathlon,Shopping
mobile recharge for vi,Bills
upi trip to delhi,Travel
stationery for simplilearn,Education
paytm pharmeasy health checkup,Health
salary credited from freelance payment,Salary
monthly bread payment,Grocery
phonepe angel one bonds,Investment
upi paid for protein powder order,Fitness
wifi bill for hp gas,Bills
bought mobile cover from croma,Shopping
paytm society maintenance payment,Rent
paid for pastries,Food
upi paid office rent,Rent
youtube premium subscription payment,Entertainment
paid course payment,Education
paid for paid for gym trainer fee,Fitness
paid for bought winter jacket from myntra,Shopping
paytm books purchase for college,Education
paytm paid for noodles,Food
upi paid for tea,Food
hotel in delhi via goibibo,Travel
dinner chole bhature payment,Food
upi lunch at udipi darshini,Food
upi paid wifi bill,Bills
paid for protein powder order via myprotein,Fitness
paid for train ticket manali,Travel
phonepe indian oil auto fare,Transport
healthians hospital bill payment,Health
paid for whey protein payment,Fitness
paid school bus fee payment,Education
upi rd via sbi,Investment
upi cult fit zumba classes,Fitness
paid for anytime fitness creatine,Fitness
upi upi to empire restaurant,Food
upi bonds via binance,Investment
paid for whey protein,Fitness
upi project advance from tcs,Salary
paid for bought bread from swiggy,Grocery
paid upi app error payment,Others
upi swimming pool membership via healthkart,Fitness
sandwich from haldirams payment,Food
phonepe dentist at healthians,Health
shopping at ajio,Shopping
inox subscription,Entertainment
paytm paid for swimming pool membership,Fitness
phonepe cleartrip flight to hyderabad,Travel
paid for whey protein via golds gym,Fitness
bought bread from zepto,Grocery
paid for monthly room maintenance,Rent
paid for paid for hospital bill,Health
wazirx nps,Investment
yatra booking,Travel
paid for crypto via sbi,Investment
stationery for udemy payment,Education
upi monthly bread,Grocery
upi pizzahut order,Food
local kirana monthly ration,Grocery
upi cash withdrawal,Others
tata power postpaid bill payment,Bills
university exam registration fee,Education
bharat petroleum bike taxi payment,Transport
upi broadband recharge for mseb,Bills
paid for blinkit cleaning supplies,Grocery
paid for paneer butter masala,Food
paid for badminton court booking payment,Fitness
lal path labs hospital bill payment,Health
paytm train ticket pune,Travel
mseb broadband recharge,Bills
health checkup at local chemist,Health
fastag recharge via namma metro payment,Transport
upi edx certification fee,Education
paytm loan repayment,Others
paytm adani electricity wifi bill,Bills
shopping at reliance digital payment,Shopping
upi office commute via bharat petroleum,Transport
train ticket dubai payment,Travel
pocket money,Others
bought sneakers from myntra payment,Shopping
paid for paid gas booking,Bills
paid for auto fare payment,Transport
paytm train ticket bali,Travel
gas booking for tata power payment,Bills
paid gift for friend,Others
rd via coin payment,Investment
upi cafe coffee day tea,Food
edx college semester fee payment,Education
local gym swimming pool membership,Fitness
unacademy certification fee,Education
trip to delhi payment,Travel
monthly lease agreement fee payment,Rent
upi bought laptop from lifestyle,Shopping
tata power mobile recharge,Bills
upi to udipi darshini,Food
paytm wazirx nifty 50,Investment
upi bought rice and dal from local kirana,Grocery
paytm upi transfer for security deposit,Rent
rapido metro recharge,Transport
paid for paid school bus fee,Education
paid for concert tickets,Entertainment
payment received from fiverr,Salary
byjus school bus fee,Education
upi doctor consultation at lal path labs,Health
lal path labs blood test,Health
paytm auto fare via dtc,Transport
upi museum entry via pvr,Entertainment
upi bought jeans from nike,Shopping
paytm tcs neft from employer,Salary
upi trip to bali,Travel
phonepe petrol pump cash,Others
paytm gift for friend,Others
paytm train ticket mumbai,Travel
upi paid for escape room,Entertainment
tickets on steam payment,Entertainment
paytm nutrabay badminton court booking,Fitness
paid for upi unknown upi transfer,Others
upi coin stock market investment,Investment
upi bought daily essentials from local kirana,Grocery
paid for fitness band,Fitness
paytm lunch at dominos,Food
paid for monthly rice and dal,Grocery
cognizant stipend,Salary
bharat gas mobile recharge,Bills
trip to manali payment,Travel
paid for school school bus fee,Education
paytm upi transfer for apartment monthly rent,Rent
petrol pump cash payment,Others
movie night booking via epic games payment,Entertainment
paid for invested in mutual fund sip,Investment
upi apollo pharmacy health checkup,Health
invested in ppf contribution,Investment
paid for paid postpaid bill,Bills
upi mcdonalds tacos,Food
phonepe paid traffic challan,Others
paytm shopping at puma,Shopping
paid for vistara booking,Travel
upi train ticket hyderabad,Travel
paid for creatine,Fitness
paid for mri scan at srl diagnostics,Health
sbi nifty 50,Investment
phonepe stock market investment via binance,Investment
phonepe shopping at westside,Shopping
gift for friend payment,Others
namma metro auto fare payment,Transport
croma shoes,Shopping
accenture salary credited payment,Salary
upi shop rent payment,Rent
paid for certification fee for school,Education
rapido bike taxi payment,Transport
paid for bought daily essentials from local kirana,Grocery
wifi bill for bwssb,Bills
paytm paid for auto fare,Transport
paid for course for college,Education
paytm flat rent payment,Rent
upi to eats,Food
upi traffic challan payment,Others
paid for protein powder order,Fitness
phonepe dmart eggs,Grocery
upi transfer for shop rent,Rent
upi paid broadband recharge,Bills
electricity bill payment for bharat gas,Bills
golds gym gym trainer fee,Fitness
paytm property tax for mcgm,Bills
hpcl uber ride to airport,Transport
upi hotel in hyderabad via indigo,Travel
trip to kerala payment,Travel
marathon registration via anytime fitness,Fitness
paid for srl diagnostics mri scan,Health
lunch at dominos payment,Food
phonepe chicken biryani from kfc,Food
upi neft from employer from freelance,Salary
paid for temple donation,Others
upi client bonus,Salary
phonepe traffic challan,Others
paid for fd via etmoney,Investment
paid for paid water bill,Bills
stipend from freelance payment,Salary
upi paid gas booking,Bills
paytm upi transfer for flat rent,Rent
paytm nps via kuvera,Investment
fiverr consulting fee payment,Salary
paytm project advance from upwork,Salary
upi paid for metro recharge,Transport
mseb water bill payment,Bills
upi paid for cab ride,Transport
paid for hpcl cab ride,Transport
paid for reliance digital headphones,Shopping
exam registration fee for coursera,Education
phonepe irctc booking,Travel
paytm paid pocket money,Others
paid pocket money,Others
paid for protein powder order payment,Fitness
upi monthly postpaid bill,Bills
bought sneakers from zara,Shopping
hotel in bali via airbnb,Travel
monthly veggies payment,Grocery
upi mseb dth recharge,Bills
water bill for hp gas,Bills
paid for netmeds surgical mask,Health
paid for surgical mask,Health
paytm bought smartwatch from max fashion,Shopping
hotel in bali via agoda,Travel
paid for adani electricity gas booking,Bills
healthians dentist payment,Health
blinkit bread,Grocery
phonepe wazirx bonds,Investment
paytm paid for ipl ticket,Entertainment
upi paid for clinic visit,Health
paid for byjus stationery,Education
delhi metro car diesel,Transport
upi upi transfer for flat rent,Rent
phonepe 1mg medicines,Health
upi paid for fastag recharge,Transport
paid for indane wifi bill,Bills
phonepe blusmart uber ride to airport,Transport
paid workshop,Education
paytm swimming pool membership via local gym,Fitness
paytm monthly room maintenance,Rent
paid for upi temple donation,Others
paytm stock market investment via angel one,Investment
cognizant project advance,Salary
college workshop payment,Education
paytm tata cliq mobile cover,Shopping
paytm upi cash withdrawal,Others
phonepe fd via groww,Investment
paytm paid for office commute,Transport
crypto via groww,Investment
upi paid shop rent,Rent
paytm goibibo flight to jaipur,Travel
upi paid stationery,Education
paytm train ticket goa,Travel
local tuition hostel mess fee,Education
paid for coffee payment,Food
upi monthly wifi bill,Bills
upi train ticket singapore,Travel
upi paneer butter masala from barbeque nation,Food
hotel in bali via ksrtc payment,Travel
paid for namma metro metro recharge,Transport
paytm paid for fitness band,Fitness
phonepe bought winter jacket from tata cliq,Shopping
nps via groww payment,Investment
apollo pharmacy vitamins payment,Health
paid for swimming pool membership,Fitness
groww crypto payment,Investment
upi exam registration fee for coursera,Education
local tuition books purchase,Education
upi shell fastag recharge,Transport
paytm lease agreement fee payment,Rent
upi bought eggs from natures basket,Grocery
jio water bill,Bills
indane dth recharge payment,Bills
reliance fresh monthly ration,Grocery
upi meesho amazon gadget order,Shopping
paid for train ticket dubai,Travel
university college semester fee,Education
shopping at croma,Shopping
paid for bookmyshow subscription,Entertainment
paytm temple donation,Others
university school bus fee,Education
paid for office rent payment,Rent
upi freelance salary payment from fiverr,Salary
phonepe bought veggies from star bazaar,Grocery
paytm invested in nifty 50,Investment
auto fare via bharat petroleum,Transport
bought monthly ration from reliance fresh,Grocery
paytm lal path labs clinic visit,Health
paid for startup bonus,Salary
phonepe paid property tax,Bills
paytm petrol pump cash,Others
paytm health checkup at max hospital,Health
pg accommodation payment,Rent
tickets on epic games,Entertainment
phonepe h&m order,Shopping
paid temple donation payment,Others
invested in fd payment,Investment
phonepe paid dth recharge,Bills
paid for tickets on netflix,Entertainment
train ticket delhi,Travel
paid for office commute payment,Transport
barbeque nation burger,Food
upi upi app error payment,Others
paid for barbeque nation shawarma,Food
temple donation payment,Others
paid for hotel in delhi via air india,Travel
nps via sbi,Investment
paytm cash withdrawal,Others
crypto via angel one payment,Investment
paytm bought daily essentials from blinkit,Grocery
bharat petroleum cab ride payment,Transport
paytm monthly veggies,Grocery
dmart daily essentials,Grocery
tata cliq sports bra,Shopping
upi paid for mri scan,Health
paid for blood test payment,Health
shopping at decathlon,Shopping
anytime fitness gym trainer fee,Fitness
paid postpaid bill payment,Bills
escape room via epic games,Entertainment
pastries from kfc,Food
phonepe nps via zerodha,Investment
salary credited from client,Salary
phonepe cricket match ticket via hotstar,Entertainment
hotel in pune via airbnb,Travel
paytm room maintenance payment,Rent
paytm inox subscription,Entertainment
phonepe bought rice and dal from bigbasket,Grocery
paid for lunch at haldirams,Food
ksrtc flight to bangalore payment,Travel
upi bought amazon gadget order from westside,Shopping
music festival via bookmyshow,Entertainment
bought rice and dal from instamart payment,Grocery
natures basket snacks,Grocery
trip to chennai,Travel
paid for paid for uber ride to airport,Transport
muscleblaze swimming pool membership payment,Fitness
paytm unknown upi transfer,Others
phonepe bonds via coin,Investment
upi to swiggy,Food
stipend from tcs payment,Salary
car diesel via hpcl,Transport
phonepe monthly eggs,Grocery
paid for paid for surgical mask,Health
lease agreement fee payment,Rent
upi paid postpaid bill,Bills
upi transfer for apartment monthly rent payment,Rent
local gym swimming pool membership payment,Fitness
paid office rent payment,Rent
invested in gold bees payment,Investment
paid for paid for cricket match ticket,Entertainment
phonepe golds gym zumba classes,Fitness
invested in gold bees,Investment
upi upi pocket money,Others
delhi metro bike petrol refill,Transport
paytm hdfc nifty 50,Investment
petrol pump cash,Others
paytm paid course,Education
trip to dubai,Travel
invested in bonds,Investment
paytm paid missing cash,Others
upi hotel in bali via yatra,Travel
infosys project advance,Salary
paid for room maintenance payment,Rent
monthly rice and dal,Grocery
clinic visit at netmeds,Health
auto fare via bharat petroleum payment,Transport
paid for shopping at meesho,Shopping
bike taxi via uber,Transport
paid for broadband recharge for mcgm,Bills
paid for mri scan,Health
upi healthians blood test,Health
phonepe hostel mess fee for coursera,Education
phonepe ipl ticket via steam,Entertainment
paid for simplilearn college semester fee,Education
upi golds gym fitness band,Fitness
gift for friend,Others
ipo application via wazirx,Investment
upi airbnb booking,Travel
paid for kuvera nifty 50,Investment
startup payment received,Salary
train ticket hyderabad,Travel
indigo booking,Travel
paid for cognizant salary credited,Salary
sbi ppf contribution payment,Investment
upi museum entry via steam,Entertainment
paid for client stipend,Salary
udemy exam registration fee,Education
paytm swiggy order,Food
zepto groceries,Grocery
blinkit milk payment,Grocery
paid for postpaid bill for hp gas,Bills
upi air india flight to hyderabad,Travel
startup neft from employer,Salary
bought milk from star bazaar,Grocery
paytm muscleblaze creatine,Fitness
upi paytm movies subscription,Entertainment
phonepe paid loan repayment,Others
paytm croma sneakers,Shopping
phonepe bought groceries from instamart,Grocery
paid for thali,Food
paid for accenture bonus,Salary
paid for paid hostel room rent,Rent
paid for upi loan repayment,Others
phonepe paid for cricket match ticket,Entertainment
phonepe bought mobile cover from decathlon,Shopping
upi namma metro bus ticket,Transport
paid for max hospital health checkup,Health
upi shopping at westside,Shopping
upi bought dress from decathlon,Shopping
upi paid pg accommodation,Rent
paytm school bus fee for unacademy,Education
paid for bought snacks from bigbasket,Grocery
stock market investment via kuvera payment,Investment
paid for hotel in mumbai via irctc,Travel
paid for practo medicines,Health
shopping at lifestyle payment,Shopping
paid for ipl ticket via amazon prime,Entertainment
received salary credited,Salary
muscleblaze creatine,Fitness
paid for project advance from freelance,Salary
paytm paid dth recharge,Bills
apartment monthly rent,Rent
paid for unknown upi transfer,Others
phonepe bike petrol refill via indian oil,Transport
paytm mobile recharge for tata power,Bills
paid for postpaid bill for mcgm,Bills
phonepe lunch at mcdonalds,Food
phonepe upi petrol pump cash,Others
reliance digital order payment,Shopping
paid mobile recharge,Bills
upi bought veggies from reliance fresh,Grocery
paid for museum entry payment,Entertainment
phonepe project advance from accenture,Salary
paid for upi pocket money,Others
paid for local tuition course,Education
fortis surgical mask payment,Health
upi wipro project advance,Salary
shopping at decathlon payment,Shopping
max hospital vitamins payment,Health
upstox stock market investment,Investment
college semester fee,Education
upi bsnl broadband recharge,Bills
invested in stock market investment,Investment
standup comedy via bookmyshow,Entertainment
auto fare via nayara,Transport
upi received neft from employer,Salary
act fibernet mobile recharge payment,Bills
hpcl bike petrol refill,Transport
local tuition certification fee,Education
paytm nps via icici direct,Investment
dinner sushi,Food
zomato order payment,Food
shopping at myntra payment,Shopping
postpaid bill for airtel,Bills
upi upwork stipend,Salary
upi to kfc,Food
phonepe loan repayment,Others
fastag recharge via blusmart payment,Transport
tata cliq shoes,Shopping
paytm eats burger,Food
srl diagnostics health checkup payment,Health
paid for fiverr freelance salary payment,Salary
upi zepto snacks,Grocery
phonepe project advance from client,Salary
bought sports bra from lifestyle,Shopping
metro recharge via nayara,Transport
bowling via bookmyshow,Entertainment
f45 yoga subscription,Fitness
pastries from haldirams payment,Food
paid for cricket match ticket,Entertainment
phonepe bought groceries from bigbasket,Grocery
indian oil bus ticket,Transport
meesho order payment,Shopping
phonepe paid petrol pump cash,Others
paid for yatra booking,Travel
clinic visit at apollo pharmacy,Health
paid for school bus fee for school,Education
upi star bazaar fruits,Grocery
upi bought snacks from swiggy,Grocery
etmoney stock market investment,Investment
paytm certification fee for college,Education
phonepe ola bus ticket,Transport
zepto rice and dal payment,Grocery
paid for xray payment,Health
upi yatra flight to manali,Travel
phonepe xray at local chemist,Health
tata power gas booking payment,Bills
phonepe paid society maintenance,Rent
upi monthly flat rent,Rent
paid for paid workshop,Education
bonus from upwork,Salary
paid for trip to dubai,Travel
namma metro metro recharge,Transport
bought groceries from local kirana payment,Grocery
instamart bread,Grocery
bought cleaning supplies from blinkit payment,Grocery
paid for medicines at 1mg,Health
tickets on sony liv,Entertainment
amazon prime subscription payment,Entertainment
office rent payment payment,Rent
upi h&m mobile cover,Shopping
paid for healthkart fitness band,Fitness
paytm monthly flat rent,Rent
vitamins at netmeds,Health
marathon registration via f45 payment,Fitness
tickets on pvr,Entertainment
upi university college semester fee,Education
paytm client salary credited,Salary
phonepe consulting fee from accenture,Salary
upi inox subscription,Entertainment
airtel property tax,Bills
paytm wazirx fd,Investment
school tuition fee,Education
phonepe creatine via golds gym,Fitness
phonepe concert tickets via amazon prime,Entertainment
uber car diesel payment,Transport
angel one rd payment,Investment
infosys neft from employer payment,Salary
binance nps,Investment
upi unknown upi transfer,Others
dmart eggs payment,Grocery
starbucks order,Food
doctor consultation at apollo pharmacy,Health
phonepe paid for theme park,Entertainment
bought sunglasses from amazon,Shopping
adani electricity broadband recharge payment,Bills
uber uber ride to airport,Transport
bowling via steam,Entertainment
bought fruits from blinkit payment,Grocery
mobile recharge for mseb,Bills
paytm upi gift for friend,Others
upi redbus flight to jaipur,Travel
bought fruits from instamart,Grocery
paid for yoga subscription via golds gym,Fitness
upi cleartrip booking,Travel
upi upi transfer for society maintenance,Rent
paytm pocket money,Others
monthly apartment monthly rent,Rent
max hospital mri scan,Health
charity donation,Others
upi fd via sbi,Investment
paid for hotel in dubai via airbnb,Travel
phonepe upi transfer for security deposit,Rent
freelance salary payment from wipro,Salary
act fibernet electricity bill payment,Bills
paid for local tuition college semester fee,Education
phonepe mcdonalds sushi,Food
college workshop,Education
paid for upi gift for friend,Others
upi bought tshirt from decathlon,Shopping
upi train ticket pune,Travel
upi max hospital physiotherapy,Health
phonepe hotel in kerala via ksrtc,Travel
upi invested in ppf contribution,Investment
muscleblaze marathon registration,Fitness
phonepe lal path labs physiotherapy,Health
paid for mobile recharge for bwssb,Bills
upi mseb postpaid bill,Bills
paid flat rent payment,Rent
paytm upi transfer for shop rent,Rent
wipro freelance salary payment,Salary
upi paid for swimming pool membership,Fitness
upi paid flat rent,Rent
bought amazon gadget order from decathlon,Shopping
paytm upi traffic challan,Others
paytm upi loan repayment,Others
loan repayment payment,Others
trip to dubai payment,Travel
paytm namma metro office commute,Transport
paid room maintenance,Rent
workshop for college,Education
phonepe hotel in bali via goibibo,Travel
paid for car diesel via nayara,Transport
monthly lease agreement fee,Rent
paid for crypto via wazirx,Investment
paid for unacademy certification fee,Education
upi lunch at starbucks,Food
shopping at reliance digital,Shopping
paid for bought watch from ajio,Shopping
freelance freelance salary payment,Salary
paid for missing cash,Others
paytm max hospital dentist,Health
phonepe paid for metro recharge,Transport
coursera school bus fee,Education
paid for paid upi app error,Others
upstox gold bees,Investment
physiotherapy at healthians,Health
paytm paid fine payment,Others
upi edx workshop,Education
course for simplilearn,Education
bonus from cognizant,Salary
paytm upi temple donation,Others
upi h&m amazon gadget order,Shopping
phonepe tickets on netflix,Entertainment
paid for upi transfer for room maintenance,Rent
paytm metro recharge via hpcl,Transport
upi pocket money,Others
phonepe oyo booking,Travel
paid for shopping at max fashion,Shopping
ppf contribution via wazirx payment,Investment
paid for payment received from upwork,Salary
upi indigo booking,Travel
upi dinner chicken biryani,Food
paid for paid cash withdrawal,Others
healthkart whey protein,Fitness
phonepe zerodha rd,Investment
paytm paid for gym trainer fee,Fitness
paytm healthians surgical mask,Health
books purchase for udemy,Education
hotel in manali via indigo,Travel
phonepe paytm movies subscription,Entertainment
upi uber ride to airport via blusmart,Transport
f45 gym trainer fee,Fitness
paytm invested in ipo application,Investment
paid for amazon order,Shopping
phonepe paid for office commute,Transport
phonepe college semester fee for simplilearn,Education
upi transfer for pg accommodation,Rent
upi protein powder order via anytime fitness,Fitness
paid for paid for gaming,Entertainment
paid for school bus fee for simplilearn,Education
hotstar subscription,Entertainment
myprotein fitness band,Fitness
starbucks thali,Food
paytm paid for theme park,Entertainment
paytm empire restaurant tea,Food
upi to local bakery payment,Food
upi udemy tuition fee,Education
unknown upi transfer,Others
paytm paid for zumba classes,Fitness
upi hotel in delhi via agoda,Travel
bought perfume from westside,Shopping
paid for sony liv subscription,Entertainment
zomato chole bhature,Food
train ticket dubai,Travel
dominos order payment,Food
paid for clinic visit at healthians,Health
cash withdrawal,Others
fiverr payment received payment,Salary
upi trip to kerala,Travel
paid for ipl ticket via bookmyshow,Entertainment
paytm myntra order,Shopping
paid for trip to pune,Travel
wazirx crypto,Investment
bharat petroleum uber ride to airport,Transport
delhi metro metro recharge,Transport
lal path labs physiotherapy payment,Health
barbeque nation sandwich,Food
property tax for tata power,Bills
postpaid bill for indane,Bills
haldirams pizza,Food
charity donation payment,Others
upi uber bike petrol refill,Transport
paid for dinner chicken biryani,Food
phonepe paid for bike taxi,Transport
college semester fee for university payment,Education
paid for zumba classes payment,Fitness
reliance fresh eggs payment,Grocery
ipl ticket via steam payment,Entertainment
spotify subscription payment,Entertainment
workshop for edx payment,Education
max hospital clinic visit payment,Health
paid for bus ticket,Transport
local gym whey protein payment,Fitness
paytm monthly dth recharge,Bills
paytm payment received from freelance,Salary
paytm received stipend,Salary
tata cliq watch payment,Shopping
paid for bus ticket via rapido,Transport
phonepe tickets on amazon prime,Entertainment
paid unknown upi transfer,Others
upi shopping at croma,Shopping
paytm bought fruits from zepto,Grocery
upi pocket money payment,Others
upi transfer for apartment monthly rent,Rent
paid for cafe coffee day order,Food
bought veggies from dmart,Grocery
paid missing cash payment,Others
paytm hotel in manali via redbus,Travel
phonepe monthly hostel room rent,Rent
upi paid for doctor consultation,Health
bought daily essentials from blinkit,Grocery
paytm upi transfer for hostel room rent,Rent
phonepe bonds via zerodha,Investment
paytm bowling via paytm movies,Entertainment
paid for nutrabay whey protein,Fitness
hostel room rent payment,Rent
paytm freelance salary credited,Salary
